country,population,percent_world,date,source
World,8232000000,100.0,2025-06-13,UN projection[1][3]
India,1417492000,17.2,2025-07-01,Official projection[4]
China,1408280000,17.1,2024-12-31,Official estimate[5]
United States,340110988,4.1,2024-07-01,Official estimate[6]
Indonesia,284438782,3.5,2025-06-30,National annual projection[7]
Pakistan,241499431,2.9,2023-03-01,2023 census result[8]
Nigeria,223800000,2.7,2023-07-01,Official projection[9]
Brazil,213421037,2.6,2025-07-01,Official estimate[10]
Bangladesh,169828911,2.1,2022-06-14,2022 census result[11]
Russia,146028325,1.8,2025-01-01,Official estimate[13]
Mexico,130760049,1.6,2025-09-30,National quarterly estimate[14]
Japan,123190000,1.5,2025-11-01,Monthly national estimate[15]
Philippines,114123600,1.4,2025-07-01,Official projection[16]
Democratic Republic of the Congo,112832000,1.4,2025-07-01,UN projection[17]
Ethiopia,111652998,1.4,2025-07-01,National annual projection[18]
Egypt,107271260,1.3,2025-01-01,Official estimate[19]
Vietnam,101343800,1.2,2024-12-31,Official estimate[20]
Iran,85961000,1.0,2024-03-20,Official estimate[21]
Turkey,85664944,1.0,2024-12-31,Official estimate[22]
Germany,83491249,1.0,2025-06-30,National quarterly estimate[23]
United Kingdom,69281437,0.8,2024-06-30,Official estimate[24]
France,68736000,0.8,2025-11-01,Monthly national estimate[25]
Tanzania,68153004,0.8,2025-07-01,Official projection[26]
Thailand,65826149,0.8,2025-11-30,Monthly national estimate[27]
South Africa,63100945,0.8,2025-06-30,Official estimate[28]
Italy,58925596,0.7,2025-08-31,Monthly national estimate[29]
Kenya,53330978,0.6,2025-07-01,Official projection[30]
Colombia,53057212,0.6,2025-01-01,Official projection[31]
Sudan,51662000,0.6,2025-07-01,UN projection[32]
Myanmar,51316756,0.6,2024-10-15,Preliminary census results[33]
South Korea,51143421,0.6,2025-10-31,Monthly national estimate[35]
Spain,49442844,0.6,2025-10-01,National quarterly estimate[36]
Algeria,47400000,0.6,2025-01-01,National annual projection[37]
Argentina,46387098,0.6,2025-07-01,National annual projection[38]
Iraq,46118793,0.6,2025-02-24,2024 census result[39]
Uganda,45905417,0.6,2024-05-10,2024 census result[40]
Afghanistan,43844000,0.5,2025-07-01,UN projection[41][42](see note)
Canada,41651653,0.5,2025-07-01,National quarterly estimate[49]
Uzbekistan,38069116,0.5,2025-10-01,Official estimate[50]
